Service,Resource Type,Operation Name,Activity Type,Description,Origin,IsDataAction
Microsoft Network,Acceleratated Networking support details,Check Accelerated Networking support,Microsoft.Network/locations/checkAcceleratedNetworkingSupport/action,Checks Accelerated Networking support,,False
Microsoft Network,Admin Network Security Group,Create or Update Admin Network Security Group,Microsoft.Network/adminNetworkSecurityGroups/write,Creates or Updates Existing Admin Network Security Group,,False
Microsoft Network,Admin Network Security Group,Delete Admin Network Security Group,Microsoft.Network/adminNetworkSecurityGroups/delete,Deletes Admin Network Security Group,,False
Microsoft Network,Admin Network Security Group,Get Admin Network Security Group,Microsoft.Network/adminNetworkSecurityGroups/read,Gets Admin Network Security Group,,False
Microsoft Network,Analysis Intent,Creates or Updates a Analysis Intent,Microsoft.Network/networkVerifiers/analysisIntents/write,Creates or Updates a Analysis Intent,,False
Microsoft Network,Analysis Intent,Deletes a Analysis Intent,Microsoft.Network/networkVerifiers/analysisIntents/delete,Deletes a Analysis Intent,,False
Microsoft Network,Analysis Intent,Gets a Analysis Intent,Microsoft.Network/networkVerifiers/analysisIntents/read,Gets a Analysis Intent,,False
Microsoft Network,Analysis Run,Creates or Updates a Analysis Run,Microsoft.Network/networkVerifiers/analysisIntents/analysisRuns/write,Creates or Updates a Analysis Run,,False
Microsoft Network,Analysis Run,Deletes a Analysis Run,Microsoft.Network/networkVerifiers/analysisIntents/analysisRuns/delete,Deletes a Analysis Run,,False
Microsoft Network,Analysis Run,Gets a Analysis Run,Microsoft.Network/networkVerifiers/analysisIntents/analysisRuns/read,Gets a Analysis Run,,False
Microsoft Network,Application Gateway,Application Gateway V1 to V2 Migration Operation,Microsoft.Network/applicationGateways/v1tov2Migration/action,Application Gateway V1 to V2 Migration Operation,,False
Microsoft Network,Application Gateway,"Attaches AppProtect policy to application gateway at global, path and/or listener level",Microsoft.Network/applicationGateways/appProtectPolicy/attachAppProtectPolicy/action,"Attaches AppProtect policy to application gateway at global, path and/or listener level",system,False
Microsoft Network,Application Gateway,Commit application gateway migration,Microsoft.Network/applicationGateways/commitMigration/action,Commit application gateway migration,,False
Microsoft Network,Application Gateway,Create or Update Application Gateway,Microsoft.Network/applicationGateways/write,Creates an application gateway or updates an application gateway,,False
Microsoft Network,Application Gateway,Delete Application Gateway,Microsoft.Network/applicationGateways/delete,Deletes an application gateway,,False
Microsoft Network,Application Gateway,"Detaches AppProtect policy from application gateway at global, path and/or listener level",Microsoft.Network/applicationGateways/appProtectPolicy/detachAppProtectPolicy/action,"Detaches AppProtect policy from application gateway at global, path and/or listener level",system,False
Microsoft Network,Application Gateway,Execute application gateway migration,Microsoft.Network/applicationGateways/executeMigration/action,Execute application gateway migration,,False
Microsoft Network,Application Gateway,Get AppProtect policy attached to application gateway resource,Microsoft.Network/applicationGateways/appProtectPolicy/getAppProtectPolicy/action,Get AppProtect policy attached to application gateway resource,system,False
